ssObjectId,diaSourceId,midPointTai,ra,decl
c1,150944,60432.242641181445,245.40166418767652,9.84571879029869
c1,150955,60432.24754152432,245.40150405278382,9.845722893972823
c1,150956,60432.24798892027,245.4015596644943,9.845823418080727
c1,154818,60436.20815063599,245.30310214315014,9.890569811558189
c1,154820,60436.2090459531,245.3030807105275,9.89056602916818
c1,154868,60436.23191696525,245.3024504567723,9.890815481428982
c1,154870,60436.23281254119,245.30250388314118,9.890840387880337
c1,155941,60437.26585634318,245.27617438675364,9.901980252482026
c1,159711,60443.28511936029,245.1191505911222,9.9609375667832
c1,159712,60443.28556416346,245.1191227232623,9.9609412333838
c1,159761,60443.30880202504,245.11859499908599,9.961158410784808
c1,163817,60461.24142295042,244.62894678378376,10.077636997878919
c1,163867,60461.26516072491,244.62834817672035,10.077707625780189
c0,172554,60488.287126708434,303.8297389743791,5.4151290419555185
c1,174339,60490.16058519278,243.88922039522294,10.063733769419194
c1,175287,60491.11942138675,243.86791816527077,10.05901720317339
c0,180625,60503.21176966108,303.50926531054387,5.386203390091582
c0,180675,60503.23574759588,303.50871583765434,5.3861333905071085
c0,182757,60506.12994875284,303.44331943560445,5.375031209100641
c0,182807,60506.1536938479,303.44284166655416,5.374873738520614
1221,182825,60506.161730208434,326.5329032119411,2.7425577956873166
1221,182826,60506.16217990914,326.5327928118164,2.7424961516788917
c1,187174,60523.967673153136,243.3535219394388,9.754009851348524
c1,187260,60524.00890152565,243.35318984015626,9.753471190353782
1221,187865,60524.295583660896,321.1155328371555,-0.6676703184919807
1221,187915,60524.319908416386,321.1073053048536,-0.6732086656675679
c1,188264,60525.013014257645,243.34508659670243,9.740350591339745
c0,188475,60525.11174919919,303.0091155094475,5.259784557609945
c0,188518,60525.13095124588,303.0086793236595,5.259642282790739
c0,188568,60525.154878611866,303.0081219940938,5.25944164871615
c0,189120,60526.223782745605,302.9839769431334,5.250900011636833
1221,189163,60526.24308099285,320.4805658574922,-1.1165991279858942
1221,189213,60526.2674565132,320.47229550691384,-1.1222837009099067
1221,190134,60527.23597613654,320.15716541848917,-1.3493189732431699
c0,190927,60528.143199788465,302.94100437309913,5.235066685457298
1221,191966,60529.17128602824,319.53076347731974,-1.8091273288653515
1221,191967,60529.17173445004,319.5306146749871,-1.8092291138145236
1221,192017,60529.195743488555,319.52255131519837,-1.814984462158175
c1,192599,60530.003511087496,243.31305282983197,9.672515728378979
2014WD602,193461,60530.421560646886,17.216338385400036,-24.786251359078218
2014WD602,193483,60530.43301156053,17.216230294798834,-24.786406986369723
c0,197787,60546.085699024065,302.5653895372657,5.058998599277946
c0,197837,60546.10988900514,302.56499433687276,5.058782924071211
1221,198054,60546.214165374295,314.63638696958606,-5.923064997005174
1221,198104,60546.238236888734,314.63045510159276,-5.928635786915772
2014WD602,198489,60546.42381613878,17.014101817835183,-24.98674478520694
c0,199759,60548.12644353918,302.52677492045495,5.0361801512539675
1221,199777,60548.13453362049,314.1980948182628,-6.364007571090123
c1,200434,60548.99706878185,243.3111371251092,9.383107242941172
2013SJ112,201073,60549.30514652972,18.672377970538662,3.775767791567012
2013SJ112,201123,60549.32937479841,18.67205491907646,3.7755916353410055
c0,202045,60558.060316987845,302.35494176580846,4.918926873987367
2014WD602,202716,60558.38332458856,16.804883855021387,-25.128803655832918
2014WD602,202738,60558.39464986735,16.804707082407788,-25.128948041581733
2014WD602,203862,60561.33547837397,16.746827223449543,-25.161728109992826
2014WD602,204845,60563.371803650705,16.70545585542135,-25.18381418533837
2014WD602,204867,60563.38304772052,16.705180079086404,-25.183898534490776
c0,205873,60565.00282299002,302.25316665671915,4.832120089553004
1221,205887,60565.00909871227,311.67422067764403,-9.740483644745407
c0,205923,60565.02679769248,302.252844796701,4.831812814557761
1221,205937,60565.03308346199,311.67218370345137,-9.744554241817228
c0,205968,60565.04722515775,302.25255231050267,4.831563266435722
c0,205971,60565.04857614229,302.2525311508461,4.8315227072419065
1221,205999,60565.06113170431,311.66979902412805,-9.749303786304308
1221,206000,60565.061583392555,311.6697586656902,-9.749379518582789
2014WD602,207178,60566.19024268004,16.646642548811087,-25.213430957826578
2014WD602,207179,60566.1906942427,16.646685042671947,-25.21342245408099
2013SJ112,207269,60566.23566557203,18.441728918851595,3.666732380762811
2013SJ112,207372,60566.28361518785,18.440988666760802,3.666413167023864
c0,212915,60575.04852943463,302.13669331317357,4.70243003293678
1221,212945,60575.062334047354,311.34841067982745,-11.240616152210608
1221,212995,60575.08669819174,311.34840318036845,-11.24376252381129
2014QN441,213640,60575.399438747605,54.01059492520426,-2.2997780209616354
2014QN441,214925,60580.36337994232,53.953024929067,-2.3560265565037417
2014QN441,214947,60580.374654740626,53.95288552298331,-2.356157700373869
2014QN441,215973,60582.39337680586,53.92657954103504,-2.3789208898821284
1221,216078,60583.03315692588,311.6648903086713,-12.152977381774658
2014WD602,216231,60583.10522921533,16.262748835337845,-25.362935942327713
2014WD602,216232,60583.105678108885,16.2627381905383,-25.362940625924196
